"essay","model","score"
"13240_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.89997
"13240_1","DATASET_3_rf_1",0.869945
"13240_1","DATASET_3_nn_2",0.831291
"13240_1","DATASET_2_nn_1",0.859676
"13240_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.894862
"13240_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.890883
"13240_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.899535
"13240_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.902686
"13240_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.900062
"13240_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.907212
"13240_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.90515
"13240_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.90515
"13240_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.891297
"13240_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.902283
"13240_1","DATASET_3_nn_1",0.864683
"13240_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.903847
"13240_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.899906
"13240_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.897139
"13240_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.897139
"13240_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.894818
"13240_1","DATASET_8_nn_3",0.840309
"13240_1","DATASET_5_nn_1",0.861124
"13240_1","DATASET_2_nn_2",0.84527
"13240_1","DATASET_4_nn_2",0.857108
"13240_1","DATASET_1_nn_1",0.853188
"13240_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.897978
"13240_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.889634
"13240_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.895837
"13240_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.90103
"13240_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.895512
"13240_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.89871
"13240_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.89642
"13240_1","DATASET_1_nn_2",0.836422
"13240_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.90072
"13240_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.895733
"13240_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.905286
"13240_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.900501
"13240_1","DATASET_4_nn_1",0.870878
"13240_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.898136
"13240_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.903138
"13240_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.896713
"13240_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.895256
"13240_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.901597
"13240_1","HUMAN",0.931015
"13240_1","ENSEMBLE",0.901813
"13564_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.789411
